year,month,eventCount.frequency,previous.frequency,change.frequency,changePercentage.frequency,year.month,eventCount.participant,previous.participant,change.participant,changePercentage.participant
2021,09,786,NA,NA,NA,2021/09,434,NA,NA,NA
2021,10,637,786,-149,-18.956743002544528,2021/10,364,434,-70,-16.129032258064516
2021,11,2373,637,1736,272.5274725274725,2021/11,1364,364,1000,274.72527472527474
2021,12,3484,2373,1111,46.818373367045936,2021/12,1999,1364,635,46.55425219941349
2022,01,8708,3484,5224,149.9425947187141,2022/01,2359,1999,360,18.009004502251123
2022,02,7074,8708,-1634,-18.76435461644465,2022/02,1722,2359,-637,-27.002967359050444
2022,03,10322,7074,3248,45.91461690698332,2022/03,2832,1722,1110,64.45993031358886
2022,04,1163,10322,-9159,-88.73280372020926,2022/04,265,2832,-2567,-90.64265536723164
2022,05,21949,1163,20786,1787.274290627687,2022/05,2094,265,1829,690.188679245283
